filename,source_captions
MusicDelta_80sRock_MIX.wav,"A recording of a rock song."
MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background."
MusicDelta_80sRock_MIX.wav,"A high quality recording of a rock song. a man singing while a guitar, bass and drums playing in the background, when later a woman joins."
MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing."
MusicDelta_Beatles_MIX.wav,"A high quality recording of a rock band playing a happy rock song."
MusicDelta_Beatles_MIX.wav,"A recording of an upbeat rock song."
MusicDelta_BebopJazz_MIX.wav,"A recording of an upbeat jazz song."
MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing."
MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing."
MusicDelta_Beethoven_MIX.wav,"A recording of a calm classical music piece."
MusicDelta_Beethoven_MIX.wav,"An orchestra playing classical music. You can hear flutes and strings."
MusicDelta_Beethoven_MIX.wav,"A high quality recording of wind instruments and strings playing."
MusicDelta_Britpop_MIX.wav,"A recording of a rock song."
MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, guitars, drums and bass are playing in the background."
MusicDelta_Britpop_MIX.wav,"A high quality recording of a rock band playing an upbeat rock song."
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy Chinese music."
MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an upbeat piece."
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of Chinese instruments playing."
MusicDelta_ChineseDrama_MIX.wav,"A recording of a dramatic epic Chinese piece."
MusicDelta_ChineseDrama_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song."
MusicDelta_ChineseDrama_MIX.wav,"A recording of Chinese instruments playing."
MusicDelta_ChineseHenan_MIX.wav,"A recording of calm happy Chinese music."
MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music."
MusicDelta_ChineseHenan_MIX.wav,"A recording of Chinese instruments playing."
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a happy village Chinese song."
MusicDelta_ChineseJiangNan_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song."
MusicDelta_ChineseJiangNan_MIX.wav,"A high quality recording of Chinese instruments playing."
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a cool mysterious Arabic Chinese song."
MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes."
MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of Chinese strings, Arabic strings, drums and Chinese flutes playing."
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy calm Chinese song."
MusicDelta_ChineseYaoZu_MIX.wav,"Chinese flutes and strings playing a happy calm Chinese song."
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of Chinese instruments playing."
MusicDelta_CoolJazz_MIX.wav,"A recording of a cool calm jazz song."
MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums."
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a saxophone, a piano, a bass guitar and drums playing."
MusicDelta_Country1_MIX.wav,"A recording of a calm country song."
MusicDelta_Country1_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background a calm country song."
MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing."
MusicDelta_Country2_MIX.wav,"A recording of a country song."
MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background."
MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing."
MusicDelta_Disco_MIX.wav,"A recording of an upbeat disco song."
MusicDelta_Disco_MIX.wav,"A man is singing in high pitched voice while a guitar, bass and drums are accompanying him in a happy upbeat disco song."
MusicDelta_Disco_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing."
MusicDelta_FreeJazz_MIX.wav,"A recording of a sneaky jazz song."
MusicDelta_FreeJazz_MIX.wav,"A clarinet playing a quiet jazz melody, with an accompaniment of bass and drums."
MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a clarinet, bass and drums playing."
MusicDelta_FunkJazz_MIX.wav,"A recording of a funky jazz song."
MusicDelta_FunkJazz_MIX.wav,"A trumpet playing a funky jazz melody, with an accompaniment of an electric keyboard, bass and drums."
MusicDelta_FunkJazz_MIX.wav,"A high quality recording of a trumpet, electric keyboard, bass and drums playing."
MusicDelta_FusionJazz_MIX.wav,"A recording of a slow cool jazz song."
MusicDelta_FusionJazz_MIX.wav,"A trumpet playing a slow cool jazz melody while an electric keyboard, bass and drums play in the background, later a saxophone preforms a solo as well."
MusicDelta_FusionJazz_MIX.wav,"A high quality recording of a trumpet, saxophone, electric keyboard, bass and drums playing."
MusicDelta_Gospel_MIX.wav,"A recording of an upbeat gospel song."
MusicDelta_Gospel_MIX.wav,"A woman is singing a gospel song, accompanied by guitar and drums."
MusicDelta_Gospel_MIX.wav,"A high quality recording of a woman singing with a guitar and drums playing in the background."
MusicDelta_GriegTrolltog_MIX.wav,"A recording of a dramatic classical music piece."
MusicDelta_GriegTrolltog_MIX.wav,"A recording of a sneaky, quiet and dramatic classical music piece, that turns loud in the middle then turns quite again."
MusicDelta_GriegTrolltog_MIX.wav,"Flutes, wind instruments and strings playing a dramatic classical music piece."
MusicDelta_GriegTrolltog_MIX.wav,"A high quality recording of flutes, wind instruments and strings playing."
MusicDelta_Grunge_MIX.wav,"A recording of a grunge rock song."
MusicDelta_Grunge_MIX.wav,"A grunge rock song of a man singing while an electric guitar, bass and drums are playing in the background."
MusicDelta_Grunge_MIX.wav,"A high quality recording of a man singing with a rock band accompaniment."
MusicDelta_Hendrix_MIX.wav,"A recording of a rock song."
MusicDelta_Hendrix_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background."
MusicDelta_Hendrix_MIX.wav,"A high quality recording of a man singing with a rock band accompaniment."
MusicDelta_InTheHalloftheMountainKing_MIX.wav,"A recording of a scary classical music piece."
MusicDelta_InTheHalloftheMountainKing_MIX.wav,"Strings playing a scary classical music melody with flutes and drums accompaniment in the background."
MusicDelta_InTheHalloftheMountainKing_MIX.wav,"A high quality recording of strings, flutes and drums playing."
MusicDelta_LatinJazz_MIX.wav,"A recording of a happy upbeat song in a Latin jazz style."
MusicDelta_LatinJazz_MIX.wav,"Flutes playing alongside a trumpet a happy upbeat melody."
MusicDelta_LatinJazz_MIX.wav,"A high quality recording of flutes and a trumpet playing."
MusicDelta_ModalJazz_MIX.wav,"A recording of an old upbeat cool jazz song."
MusicDelta_ModalJazz_MIX.wav,"Trumpets playing alongside a piano, bass and drums in an upbeat old-timey cool jazz song."
MusicDelta_ModalJazz_MIX.wav,"A high quality recording of trumpets playing a melody and a piano, bass and drums accompany them."
MusicDelta_Pachelbel_MIX.wav,"A recording of an emotional classical music piece that fits weddings."
MusicDelta_Pachelbel_MIX.wav,"A cello playing a melody and then slowly a violin joins and more strings and they play a happy emotional song."
MusicDelta_Pachelbel_MIX.wav,"A high quality recording of strings playing a wedding song."
MusicDelta_Pachelbel_MIX.wav,"A high quality recording of a cello and violins playing a happy and emotional piece."
MusicDelta_Punk_MIX.wav,"A recording of an upbeat angry punk song."
MusicDelta_Punk_MIX.wav,"A punk song of a man singing while a guitar, bass and drums accompany him."
MusicDelta_Punk_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him."
MusicDelta_Reggae_MIX.wav,"A recording of a slow reggae song."
MusicDelta_Reggae_MIX.wav,"A reggae song of a man singing while bass and drums accompany him."
MusicDelta_Reggae_MIX.wav,"A high quality recording of a man singing while bass and drums accompany him."
MusicDelta_Rock_MIX.wav,"A recording of an old timey rock song from the sixties."
MusicDelta_Rock_MIX.wav,"A cool 60s rock song of a man singing while a guitar, bass and drums accompany him."
MusicDelta_Rock_MIX.wav,"A high quality recording of a man singing while a guitar, bass and drums accompany him."
MusicDelta_Rockabilly_MIX.wav,"A recording of an old rock song."
MusicDelta_Rockabilly_MIX.wav,"A cool old rock song of a woman singing while a guitar and drums accompany her."
MusicDelta_Rockabilly_MIX.wav,"A high quality recording of a woman singing while a guitar and drums play in the background."
MusicDelta_Shadows_MIX.wav,"A recording of a calm country song."
MusicDelta_Shadows_MIX.wav,"A calm song with guitars and drums playing."
MusicDelta_Shadows_MIX.wav,"A high quality recording of a guitar playing a melody while another guitar and drums are playing in the background."
MusicDelta_SpeedMetal_MIX.wav,"A recording of a cool metal song."
MusicDelta_SpeedMetal_MIX.wav,"A metal song with an electric guitar, bass and drums playing."
MusicDelta_SpeedMetal_MIX.wav,"A high quality recording of an electric guitar playing a cool metal solo with accompaniment."
MusicDelta_SwingJazz_MIX.wav,"A recording of a cool jazz song."
MusicDelta_SwingJazz_MIX.wav,"A jazz song with a saxophone, piano, bass and drums playing."
MusicDelta_SwingJazz_MIX.wav,"A saxophone, piano, bass and drums playing a cool happy song."
MusicDelta_Vivaldi_MIX.wav,"A recording of a happy upbeat classical music piece."
MusicDelta_Vivaldi_MIX.wav,"A strings section playing classical music."
MusicDelta_Vivaldi_MIX.wav,"A high quality recording of strings playing a happy song."
MusicDelta_Zeppelin_MIX.wav,"A recording of a hard rock song."
MusicDelta_Zeppelin_MIX.wav,"An electric guitar playing epic riffs while another guitar, bass and drums are playing in the background."
MusicDelta_Zeppelin_MIX.wav,"A high quality recording of an epic guitar hard rock solo with a rock band accompaniment."
